"name","MW","RT","INCHIKEY"
" GALACTURONATE_AEMOLEFTQBMNLQ-UHFFFAOYSA-N"," 194.0427"," 10.84","AEMOLEFTQBMNLQ-UHFFFAOYSA-N"
" Aloin_AFHJQYHRLPMKHU-UHFFFAOYSA-N"," 418.1264"," 1.76","AFHJQYHRLPMKHU-UHFFFAOYSA-N"
" D-ORNITHINE_AHLPHDHHMVZTML-SCSAIBSYSA-N"," 132.0899"," 9.49","AHLPHDHHMVZTML-SCSAIBSYSA-N"
" Hesperetin_AIONOLUJZLIMTK-AWEZNQCLSA-N"," 302.0790"," 0.71","AIONOLUJZLIMTK-AWEZNQCLSA-N"
" Hesperetin_AIONOLUJZLIMTK-AWEZNQCLSA-N"," 302.0790"," 0.70","AIONOLUJZLIMTK-AWEZNQCLSA-N"
" 2,6-Dihydroxybenzoic acid_AKEUNCKRJATALU-UHFFFAOYSA-N"," 154.0266"," 0.70","AKEUNCKRJATALU-UHFFFAOYSA-N"
" DL-2-Aminooctanoic acid_AKVBCGQVQXPRLD-UHFFFAOYSA-N"," 159.1259"," 5.88","AKVBCGQVQXPRLD-UHFFFAOYSA-N"
" DL-2-Aminooctanoic acid_AKVBCGQVQXPRLD-UHFFFAOYSA-N"," 159.1259"," 5.85","AKVBCGQVQXPRLD-UHFFFAOYSA-N"
" cis-4-hydroxycyclohexylacetic acid_ALTAAUJNHYWOGS-UHFFFAOYSA-N"," 158.0943"," 0.91","ALTAAUJNHYWOGS-UHFFFAOYSA-N"
" Ginkgolide C_AMOGMTLMADGEOQ-UHFFFAOYSA-N"," 440.1319"," 0.80","AMOGMTLMADGEOQ-UHFFFAOYSA-N"
" Lenticin_AOHCBEAZXHZMOR-ZDUSSCGKSA-N"," 246.1368"," 5.26","AOHCBEAZXHZMOR-ZDUSSCGKSA-N"
" Hesperetin 7-neohesperidoside_ARGKVCXINMKCAZ-UHFFFAOYSA-N"," 610.1898"," 4.89","ARGKVCXINMKCAZ-UHFFFAOYSA-N"
" 3-Hydroxytetradecanoic acid_ATRNZOYKSNPPBF-ZDUSSCGKSA-N"," 244.2038"," 0.76","ATRNZOYKSNPPBF-ZDUSSCGKSA-N"
" RIBOFLAVIN_AUNGANRZJHBGPY-SCRDCRAPSA-N"," 376.1383"," 5.72","AUNGANRZJHBGPY-SCRDCRAPSA-N"
" DETHIOBIOTIN_AUTOLBMXDDTRRT-JGVFFNPUSA-N"," 214.1317"," 1.10","AUTOLBMXDDTRRT-JGVFFNPUSA-N"
" LIOTHYRONINE_AUYYCJSJGJYCDS-LBPRGKRZSA-N"," 650.7901"," 5.57","AUYYCJSJGJYCDS-LBPRGKRZSA-N"
" GLYCEROL 3-PHOSPHATE_AWUCVROLDVIAJX-GSVOUGTGSA-N"," 172.0137"," 0.92","AWUCVROLDVIAJX-GSVOUGTGSA-N"
" THREONINE_AYFVYJQAPQTCCC-GBXIJSLDSA-N"," 119.0582"," 8.13","AYFVYJQAPQTCCC-GBXIJSLDSA-N"
" ALLOTHREONINE_AYFVYJQAPQTCCC-HRFVKAFMSA-N"," 119.0582"," 8.10","AYFVYJQAPQTCCC-HRFVKAFMSA-N"
" L-Allothreonine_AYFVYJQAPQTCCC-HRFVKAFMSA-N"," 119.0582"," 8.09","AYFVYJQAPQTCCC-HRFVKAFMSA-N"
" 3-METHYL-2-OXINDOLE_BBZCPUCZKLTAJQ-UHFFFAOYSA-N"," 147.0684"," 0.90","BBZCPUCZKLTAJQ-UHFFFAOYSA-N"
" Neopterin_BMQYVXCPAOLZOK-UHFFFAOYSA-N"," 253.0811"," 7.49","BMQYVXCPAOLZOK-UHFFFAOYSA-N"
" Dihydroferulic acid_BOLQJTPHPSDZHR-UHFFFAOYSA-N"," 196.0736"," 0.76","BOLQJTPHPSDZHR-UHFFFAOYSA-N"
" 1-Phenyl-1,2-propanedione_BVQVLAIMHVDZEL-UHFFFAOYSA-N"," 148.0524"," 8.39","BVQVLAIMHVDZEL-UHFFFAOYSA-N"
" ALPHA-HYDROXYISOBUTYRATE_BWLBGMIXKSTLSX-UHFFFAOYSA-N"," 104.0473"," 12.55","BWLBGMIXKSTLSX-UHFFFAOYSA-N"
" INDOXYL SULFATE_BXFFHSIDQOFMLE-UHFFFAOYSA-N"," 213.0096"," 0.78","BXFFHSIDQOFMLE-UHFFFAOYSA-N"
" 1,3,7-Trimethyluric acid_BYXCFUMGEBZDDI-UHFFFAOYSA-N"," 210.0753"," 1.00","BYXCFUMGEBZDDI-UHFFFAOYSA-N"
" 1,3,7-Trimethyluric acid_BYXCFUMGEBZDDI-UHFFFAOYSA-N"," 210.0753"," 1.00","BYXCFUMGEBZDDI-UHFFFAOYSA-N"
" Ala-Ala-Ala_BYXHQQCXAJARLQ-UHFFFAOYSA-N"," 231.1219"," 8.05","BYXHQQCXAJARLQ-UHFFFAOYSA-N"
" N-ACETYLPHENYLALANINE_CBQJSKKFNMDLON-JTQLQIEISA-N"," 207.0895"," 1.28","CBQJSKKFNMDLON-JTQLQIEISA-N"
" 3-Hydroxyhexadecanoic acid_CBWALJHXHCJYTE-HNNXBMFYSA-N"," 272.2351"," 0.78","CBWALJHXHCJYTE-HNNXBMFYSA-N"
" ortho-Hydroxyphenylacetic acid_CCVYRRGZDBSHFU-UHFFFAOYSA-N"," 152.0473"," 0.86","CCVYRRGZDBSHFU-UHFFFAOYSA-N"
" chiro-Inositol_CDAISMWEOUEBRE-UHFFFAOYSA-N"," 180.0634"," 8.20","CDAISMWEOUEBRE-UHFFFAOYSA-N"
" MYOINOSITOL_CDAISMWEOUEBRE-UHFFFAOYSA-N"," 180.0634"," 7.49","CDAISMWEOUEBRE-UHFFFAOYSA-N"
" scyllo-Inositol_CDAISMWEOUEBRE-UHFFFAOYSA-N"," 180.0634"," 0.94","CDAISMWEOUEBRE-UHFFFAOYSA-N"
" 2-AMINOPHENOL_CDAWCLOXVUBKRW-UHFFFAOYSA-N"," 109.0528"," 0.82","CDAWCLOXVUBKRW-UHFFFAOYSA-N"
" 3,3',4'5-Tetrahydroxystilbene_CDRPUGZCRXZLFL-OWOJBTEDSA-N"," 244.0736"," 0.88","CDRPUGZCRXZLFL-OWOJBTEDSA-N"
" 2,5-Furandicarboxylic acid_CHTHALBTIRVDBM-UHFFFAOYSA-N"," 156.0059"," 7.88","CHTHALBTIRVDBM-UHFFFAOYSA-N"
" 3-(2-HYDROXYPHENYL)PROPANOATE_CJBDUOMQLFKVQC-UHFFFAOYSA-N"," 166.0630"," 0.76","CJBDUOMQLFKVQC-UHFFFAOYSA-N"
" DEOXYCYTIDINE_CKTSBUTUHBMZGZ-SHYZEUOFSA-N"," 227.0906"," 5.18","CKTSBUTUHBMZGZ-SHYZEUOFSA-N"
" CARNOSINE_CQOVPNPJLQNMDC-ZETCQYMHSA-N"," 226.1066"," 9.44","CQOVPNPJLQNMDC-ZETCQYMHSA-N"
" 12,13-DiHOME_CQSLTKIXAJTQGA-BTDPBSJTSA-N"," 314.2457"," 0.72","CQSLTKIXAJTQGA-BTDPBSJTSA-N"
" Phenol sulfate_CTYRPMDGLDAWRQ-UHFFFAOYSA-N"," 173.9987"," 0.75","CTYRPMDGLDAWRQ-UHFFFAOYSA-N"
" CREATINE_CVSVTCORWBXHQV-UHFFFAOYSA-N"," 131.0695"," 7.82","CVSVTCORWBXHQV-UHFFFAOYSA-N"
" SEBACATE_CXMXRPHRNRROMY-UHFFFAOYSA-N"," 202.1205"," 0.78","CXMXRPHRNRROMY-UHFFFAOYSA-N"
" 2,4-Dihydroxy-nitrophenol_CYEZXDVLBGFROE-UHFFFAOYSA-N"," 155.0219"," 0.70","CYEZXDVLBGFROE-UHFFFAOYSA-N"
" SUCROSE_CZMRCDWAGMRECN-UGDNZRGBSA-N"," 342.1162"," 8.08","CZMRCDWAGMRECN-UGDNZRGBSA-N"
" L-Theanine_DATAGRPVKZEWHA-YFKPBYRVSA-N"," 174.1004"," 7.47","DATAGRPVKZEWHA-YFKPBYRVSA-N"
" L-Theanine_DATAGRPVKZEWHA-YFKPBYRVSA-N"," 174.1004"," 8.15","DATAGRPVKZEWHA-YFKPBYRVSA-N"
" 3-Hydroxyisobutyric acid_DBXBTMSZEOQQDU-GSVOUGTGSA-N"," 104.0473"," 1.09","DBXBTMSZEOQQDU-GSVOUGTGSA-N"
" ASPARAGINE_DCXYFEDJOCDNAF-REOHCLBHSA-N"," 132.0535"," 8.48","DCXYFEDJOCDNAF-REOHCLBHSA-N"
" CREATININE_DDRJAANPRJIHGJ-UHFFFAOYSA-N"," 113.0589"," 3.08","DDRJAANPRJIHGJ-UHFFFAOYSA-N"
" Naringin_DFPMSGMNTNDNHN-ZPHOTFPESA-N"," 580.1792"," 0.92","DFPMSGMNTNDNHN-ZPHOTFPESA-N"
" beta-Glycerophosphoric acid_DHCLVCXQIBBOPH-UHFFFAOYSA-N"," 172.0137"," 0.98","DHCLVCXQIBBOPH-UHFFFAOYSA-N"
" PREGNENOLONE SULFATE_DIJBBUIOWGGQOP-OZIWPBGVSA-N"," 396.1970"," 0.74","DIJBBUIOWGGQOP-OZIWPBGVSA-N"
" Hyocholic acid_DKPMWHFRUGMUKF-NNFRHCBVSA-N"," 408.2876"," 1.08","DKPMWHFRUGMUKF-NNFRHCBVSA-N"
" MELIBIOSE_DLRVVLDZNNYCBX-ABXHMFFYSA-N"," 342.1162"," 8.08","DLRVVLDZNNYCBX-ABXHMFFYSA-N"
" Isomaltose_DLRVVLDZNNYCBX-BTLHAWITSA-N"," 342.1162"," 8.73","DLRVVLDZNNYCBX-BTLHAWITSA-N"
" Melatonin_DRLFMBDRBRZALE-UHFFFAOYSA-N"," 232.1212"," 0.72","DRLFMBDRBRZALE-UHFFFAOYSA-N"
" MELATONIN_DRLFMBDRBRZALE-UHFFFAOYSA-N"," 232.1212"," 0.72","DRLFMBDRBRZALE-UHFFFAOYSA-N"
" URIDINE_DRTQHJPVMGBUCF-XVFCMESISA-N"," 244.0695"," 3.10","DRTQHJPVMGBUCF-XVFCMESISA-N"
" PHOSPHOENOLPYRUVATE_DTBNBXWJWCWCIK-UHFFFAOYSA-N"," 167.9824"," 1.58","DTBNBXWJWCWCIK-UHFFFAOYSA-N"
" 5-HYDROXYINDOLEACETATE_DUUGKQCEGZLZNO-UHFFFAOYSA-N"," 191.0582"," 0.90","DUUGKQCEGZLZNO-UHFFFAOYSA-N"
" Enterodiol_DWONJCNDULPHLV-HOTGVXAUSA-N"," 302.1518"," 0.78","DWONJCNDULPHLV-HOTGVXAUSA-N"
" Ribothymidine_DWRXFEITVBNRMK-JXOAFFINSA-N"," 258.0852"," 2.35","DWRXFEITVBNRMK-JXOAFFINSA-N"
" Ribothymidine_DWRXFEITVBNRMK-JXOAFFINSA-N"," 258.0852"," 2.34","DWRXFEITVBNRMK-JXOAFFINSA-N"
" Isoliquiritigenin_DXDRHHKMWQZJHT-FPYGCLRLSA-N"," 256.0736"," 0.72","DXDRHHKMWQZJHT-FPYGCLRLSA-N"
" 1,11-Undecanedicarboxylate_DXNCZXXFRKPEPY-UHFFFAOYSA-N"," 244.1675"," 0.74","DXNCZXXFRKPEPY-UHFFFAOYSA-N"
" 3,4-Dihydroxyhydrocinnamic acid_DZAUWHJDUNRCTF-UHFFFAOYSA-N"," 182.0579"," 0.98","DZAUWHJDUNRCTF-UHFFFAOYSA-N"
" 3,4-Dihydroxyhydrocinnamic acid_DZAUWHJDUNRCTF-UHFFFAOYSA-N"," 182.0579"," 1.02","DZAUWHJDUNRCTF-UHFFFAOYSA-N"
" N-ACETYLTRYPTOPHAN_DZTHIGRZJZPRDV-LBPRGKRZSA-N"," 246.1004"," 1.36","DZTHIGRZJZPRDV-LBPRGKRZSA-N"
" Phenylglyoxylic acid_FAQJJMHZNSSFSM-UHFFFAOYSA-N"," 150.0317"," 1.43","FAQJJMHZNSSFSM-UHFFFAOYSA-N"
" GALACTITOL_FBPFZTCFMRRESA-GUCUJZIJSA-N"," 182.0790"," 7.57","FBPFZTCFMRRESA-GUCUJZIJSA-N"
" SORBITOL_FBPFZTCFMRRESA-JGWLITMVSA-N"," 182.0790"," 7.60","FBPFZTCFMRRESA-JGWLITMVSA-N"
" MANNITOL_FBPFZTCFMRRESA-KVTDHHQDSA-N"," 182.0790"," 7.61","FBPFZTCFMRRESA-KVTDHHQDSA-N"
" L-Iditol_FBPFZTCFMRRESA-UNTFVMJOSA-N"," 182.0790"," 7.58","FBPFZTCFMRRESA-UNTFVMJOSA-N"
" 3-NITRO-L-TYROSINE_FBTSQILOGYXGMD-UHFFFAOYSA-N"," 226.0590"," 6.49","FBTSQILOGYXGMD-UHFFFAOYSA-N"
" XANTHURENATE_FBZONXHGGPHHIY-UHFFFAOYSA-N"," 205.0375"," 6.09","FBZONXHGGPHHIY-UHFFFAOYSA-N"
" Rhein_FCDLCPWAQCPTKC-UHFFFAOYSA-N"," 284.0321"," 1.02","FCDLCPWAQCPTKC-UHFFFAOYSA-N"
" HYPOXANTHINE_FDGQSTZJBFJUBT-UHFFFAOYSA-N"," 136.0385"," 2.93","FDGQSTZJBFJUBT-UHFFFAOYSA-N"
" 4-HYDROXYBENZOATE_FJKROLUGYXJWQN-UHFFFAOYSA-N"," 138.0317"," 0.82","FJKROLUGYXJWQN-UHFFFAOYSA-N"
" Ginkgolide A_FPUXKXIZEIDQKW-UHFFFAOYSA-N"," 408.1420"," 0.72","FPUXKXIZEIDQKW-UHFFFAOYSA-N"
" Canavanine_FSBIGDSBMBYOPN-VKHMYHEASA-N"," 176.0909"," 9.16","FSBIGDSBMBYOPN-VKHMYHEASA-N"
" (•À?)-Naringenin_FTVWIRXFELQLPI-ZDUSSCGKSA-N"," 272.0685"," 0.73","FTVWIRXFELQLPI-ZDUSSCGKSA-N"
" Naringenin_FTVWIRXFELQLPI-ZDUSSCGKSA-N"," 272.0685"," 0.72","FTVWIRXFELQLPI-ZDUSSCGKSA-N"
" 2-AMINOISOBUTYRATE_FUOOLUPWFVMBKG-UHFFFAOYSA-N"," 103.0633"," 7.59","FUOOLUPWFVMBKG-UHFFFAOYSA-N"
" 3-HYDROXYPHENYLACETATE_FVMDYYGIDFPZAX-UHFFFAOYSA-N"," 152.0473"," 0.70","FVMDYYGIDFPZAX-UHFFFAOYSA-N"
" Flavin mononucleotide_FVTCRASFADXXNN-SCRDCRAPSA-N"," 456.1046"," 8.07","FVTCRASFADXXNN-SCRDCRAPSA-N"
" (R)-3-Hydroxydecanoic acid_FYSSBMZUBSBFJL-SECBINFHSA-N"," 188.1412"," 0.78","FYSSBMZUBSBFJL-SECBINFHSA-N"
" 7-Methylguanine_FZWGECJQACGGTI-UHFFFAOYSA-N"," 165.0651"," 3.86","FZWGECJQACGGTI-UHFFFAOYSA-N"
" 6-Oxopiperidine-2-carboxylic acid_FZXCPFJMYOQZCA-UHFFFAOYSA-N"," 143.0582"," 7.17","FZXCPFJMYOQZCA-UHFFFAOYSA-N"
" S-CARBOXYMETHYLCYSTEINE_GBFLZEXEOZUWRN-UHFFFAOYSA-N"," 179.0252"," 8.64","GBFLZEXEOZUWRN-UHFFFAOYSA-N"
" S-Carboxymethyl-L-cysteine)_GBFLZEXEOZUWRN-UHFFFAOYSA-N"," 179.0252"," 8.62","GBFLZEXEOZUWRN-UHFFFAOYSA-N"
" ADENINE_GFFGJBXGBJISGV-UHFFFAOYSA-N"," 135.0545"," 2.29","GFFGJBXGBJISGV-UHFFFAOYSA-N"
" 1-METHYLADENOSINE_GFYLSDSUCHVORB-IOSLPCCCSA-N"," 281.1124"," 1.89","GFYLSDSUCHVORB-IOSLPCCCSA-N"
" Chenodeoxycholic acid glycine conjugate_GHCZAUBVMUEKKP-GYPHWSFCSA-N"," 449.3141"," 0.92","GHCZAUBVMUEKKP-GYPHWSFCSA-N"
" GLYCOCHENODEOXYCHOLATE_GHCZAUBVMUEKKP-GYPHWSFCSA-N"," 449.3141"," 2.35","GHCZAUBVMUEKKP-GYPHWSFCSA-N"
" PANTOTHENATE_GHOKWGTUZJEAQD-UHFFFAOYSA-N"," 219.1107"," 1.90","GHOKWGTUZJEAQD-UHFFFAOYSA-N"
" S-(2-Aminoethyl)-L-cysteine_GHSJKUNUIHUPDF-UHFFFAOYSA-N"," 164.0619"," 9.41","GHSJKUNUIHUPDF-UHFFFAOYSA-N"
" QUINOLINATE_GJAWHXHKYYXBSV-UHFFFAOYSA-N"," 167.0219"," 4.25","GJAWHXHKYYXBSV-UHFFFAOYSA-N"
" Agnuside_GLACGTLACKLUJX-UHFFFAOYSA-N"," 466.1475"," 2.45","GLACGTLACKLUJX-UHFFFAOYSA-N"
" 2,3-DIHYDROXYBENZOATE_GLDQAMYCGOIJDV-UHFFFAOYSA-N"," 154.0266"," 6.57","GLDQAMYCGOIJDV-UHFFFAOYSA-N"
" Isoxanthopterin_GLKCOBIIZKYKFN-UHFFFAOYSA-N"," 179.0443"," 5.92","GLKCOBIIZKYKFN-UHFFFAOYSA-N"
" DIAMINOPIMELATE_GMKMEZVLHJARHF-WHFBIAKZSA-N"," 190.0954"," 9.78","GMKMEZVLHJARHF-WHFBIAKZSA-N"
" 3-Methylxanthine_GMSNIKWWOQHZGF-UHFFFAOYSA-N"," 166.0491"," 1.60","GMSNIKWWOQHZGF-UHFFFAOYSA-N"
" 3-Methylxanthine_GMSNIKWWOQHZGF-UHFFFAOYSA-N"," 166.0491"," 1.61","GMSNIKWWOQHZGF-UHFFFAOYSA-N"
" N-ACETYLPROLINE_GNMSLDIYJOSUSW-LURJTMIESA-N"," 157.0739"," 6.53","GNMSLDIYJOSUSW-LURJTMIESA-N"
" alpha-Mangostin_GNRIZKKCNOBBMO-UHFFFAOYSA-N"," 410.1729"," 0.70","GNRIZKKCNOBBMO-UHFFFAOYSA-N"
" Indole-3-propionic acid_GOLXRNDWAUTYKT-UHFFFAOYSA-N"," 189.0790"," 0.72","GOLXRNDWAUTYKT-UHFFFAOYSA-N"
" MALTOSE_GUBGYTABKSRVRQ-DKBJLJRDSA-N"," 342.1162"," 8.46","GUBGYTABKSRVRQ-DKBJLJRDSA-N"
" CELLOBIOSE_GUBGYTABKSRVRQ-QRZGKKJRSA-N"," 342.1162"," 8.46","GUBGYTABKSRVRQ-QRZGKKJRSA-N"
" LACTOSE_GUBGYTABKSRVRQ-XLOQQCSPSA-N"," 342.1162"," 8.07","GUBGYTABKSRVRQ-XLOQQCSPSA-N"
" KYNURENATE_HCZHHEIFKROPDY-UHFFFAOYSA-N"," 189.0426"," 5.58","HCZHHEIFKROPDY-UHFFFAOYSA-N"
" TREHALOSE_HDTRYLNUVZCQOY-LIZSDCNHSA-N"," 342.1162"," 8.09","HDTRYLNUVZCQOY-LIZSDCNHSA-N"
" ARABITOL_HEBKCHPVOIAQTA-IMJSIDKUSA-N"," 152.0685"," 6.86","HEBKCHPVOIAQTA-IMJSIDKUSA-N"
" RIBITOL_HEBKCHPVOIAQTA-NGQZWQHPSA-N"," 152.0685"," 6.59","HEBKCHPVOIAQTA-NGQZWQHPSA-N"
" XYLITOL_HEBKCHPVOIAQTA-NGQZWQHPSA-N"," 152.0685"," 6.59","HEBKCHPVOIAQTA-NGQZWQHPSA-N"
" 3-DEHYDROSHIKIMATE_HFMGXSXAGHUXTI-RXMQYKEDSA-N"," 172.0372"," 7.51","HFMGXSXAGHUXTI-RXMQYKEDSA-N"
" Puerarin_HKEAFJYKMMKDOR-VPRICQMDSA-N"," 416.1107"," 3.74","HKEAFJYKMMKDOR-VPRICQMDSA-N"
" Formononetin_HKQYGTCOTHHOMP-UHFFFAOYSA-N"," 268.0736"," 0.71","HKQYGTCOTHHOMP-UHFFFAOYSA-N"
" 3,7-Dimethyluric acid_HMLZLHKHNBLLJD-UHFFFAOYSA-N"," 196.0596"," 2.13","HMLZLHKHNBLLJD-UHFFFAOYSA-N"
" HISTIDINE_HNDVDQJCIGZPNO-YFKPBYRVSA-N"," 155.0695"," 9.71","HNDVDQJCIGZPNO-YFKPBYRVSA-N"
" PTERIN_HNXQXTQTPAJEJL-UHFFFAOYSA-N"," 163.0494"," 3.43","HNXQXTQTPAJEJL-UHFFFAOYSA-N"
" N-METHYLASPARTATE_HOKKHZGPKSLGJE-GSVOUGTGSA-N"," 147.0532"," 8.69","HOKKHZGPKSLGJE-GSVOUGTGSA-N"
" Enterolactone_HVDGDHBAMCBBLR-PBHICJAKSA-N"," 298.1205"," 0.71","HVDGDHBAMCBBLR-PBHICJAKSA-N"
" 4-PYRIDOXATE_HXACOUQIXZGNBF-UHFFFAOYSA-N"," 183.0532"," 5.70","HXACOUQIXZGNBF-UHFFFAOYSA-N"
" Suberylglycine_HXATVKDSYDWTCX-UHFFFAOYSA-N"," 231.1107"," 6.05","HXATVKDSYDWTCX-UHFFFAOYSA-N"
" Narirutin_HXTFHSYLYXVTHC-UHFFFAOYSA-N"," 580.1792"," 4.72","HXTFHSYLYXVTHC-UHFFFAOYSA-N"
" Methylcysteine_IDIDJDIHTAOVLG-GSVOUGTGSA-N"," 135.0354"," 7.39","IDIDJDIHTAOVLG-GSVOUGTGSA-N"
" HOMOGENTISATE_IGMNYECMUMZDDF-UHFFFAOYSA-N"," 168.0423"," 1.26","IGMNYECMUMZDDF-UHFFFAOYSA-N"
" 4-O-alpha-D-Galactopyranuronosyl-D-galacturonic acid_IGSYEZFZPOZFNC-UHFFFAOYSA-N"," 370.0747"," 10.20","IGSYEZFZPOZFNC-UHFFFAOYSA-N"
" 5,7-dihydroxy-2-(4-hydroxyphenyl)-6-methoxy-4H-chromen-4-one_IHFBPDAQLQOCBX-UHFFFAOYSA-N"," 300.0634"," 0.72","IHFBPDAQLQOCBX-UHFFFAOYSA-N"
" Myricetin_IKMDFBPHZNJCSN-UHFFFAOYSA-N"," 318.0376"," 6.54","IKMDFBPHZNJCSN-UHFFFAOYSA-N"
" 3-Oxindole-3-acetate_ILGMGHZPXRDCCS-UHFFFAOYSA-N"," 191.0582"," 1.04","ILGMGHZPXRDCCS-UHFFFAOYSA-N"
" CYSTATHIONINE_ILRYLPWNYFXEMH-WHFBIAKZSA-N"," 222.0674"," 9.85","ILRYLPWNYFXEMH-WHFBIAKZSA-N"
" Phloridzin_IOUVKUPGCMBWBT-QNDFHXLGSA-N"," 436.1369"," 1.92","IOUVKUPGCMBWBT-QNDFHXLGSA-N"
" PALMITATE_IPCSVZSSVZVIGE-UHFFFAOYSA-N"," 256.2402"," 13.60","IPCSVZSSVZVIGE-UHFFFAOYSA-N"
" Theaflavin_IPMYMEWFZKHGAX-ZKSIBHASSA-N"," 564.1268"," 2.13","IPMYMEWFZKHGAX-ZKSIBHASSA-N"
" THYMIDINE_IQFYYKKMVGJFEH-XLPZGREQSA-N"," 242.0903"," 1.34","IQFYYKKMVGJFEH-XLPZGREQSA-N"
" Luteolin_IQPNAANSBPBGFQ-UHFFFAOYSA-N"," 286.0477"," 0.86","IQPNAANSBPBGFQ-UHFFFAOYSA-N"
" Adenosine phosphosulfate_IRLPACMLTUPBCL-KQYNXXCUSA-N"," 427.0199"," 8.71","IRLPACMLTUPBCL-KQYNXXCUSA-N"
