"name","MW","RT","INCHIKEY"
" TRYPTOPHAN_QIVBCDIJIAJPQS-SECBINFHSA-N"," 204.0899"," 6.37","QIVBCDIJIAJPQS-SECBINFHSA-N"
" 3-AMINO-5-HYDROXYBENZOATE_QPEJHSFTZVMSJH-UHFFFAOYSA-N"," 153.0426"," 1.14","QPEJHSFTZVMSJH-UHFFFAOYSA-N"
" Hexadecanedioic acid_QQHJDPROMQRDLA-UHFFFAOYSA-N"," 286.2144"," 0.72","QQHJDPROMQRDLA-UHFFFAOYSA-N"
" HOMOVANILLATE_QRMZSPFSDQBLIX-UHFFFAOYSA-N"," 182.0579"," 0.82","QRMZSPFSDQBLIX-UHFFFAOYSA-N"
" Carnosic acid_QRYRORQUOLYVBU-YBMSBYLISA-N"," 332.1988"," 0.73","QRYRORQUOLYVBU-YBMSBYLISA-N"
" PARAXANTHINE_QUNWUDVFRNGTCO-UHFFFAOYSA-N"," 180.0647"," 0.94","QUNWUDVFRNGTCO-UHFFFAOYSA-N"
" Hesperidine_QUQPHWDTPGMPEX-UNZJSITISA-N"," 610.1898"," 4.51","QUQPHWDTPGMPEX-UNZJSITISA-N"
" o-Cresol_QWVGKYWNOKOFNN-UHFFFAOYSA-N"," 108.0575"," 0.82","QWVGKYWNOKOFNN-UHFFFAOYSA-N"
" PYRIDOXAL_RADKZDMFGJYCBB-UHFFFAOYSA-N"," 167.0582"," 1.42","RADKZDMFGJYCBB-UHFFFAOYSA-N"
" 2-Aminoheptanoate_RDFMDVXONNIGBC-LURJTMIESA-N"," 145.1103"," 6.19","RDFMDVXONNIGBC-LURJTMIESA-N"
" 5-Acetylamino-6-formylamino-3-methyluracil_RDZNZFGKEVDNPK-UHFFFAOYSA-N"," 226.0702"," 1.30","RDZNZFGKEVDNPK-UHFFFAOYSA-N"
" Quercetin_REFJWTPEDVJJIY-UHFFFAOYSA-N"," 302.0427"," 0.88","REFJWTPEDVJJIY-UHFFFAOYSA-N"
" Harmaline_RERZNCLIYCABFS-UHFFFAOYSA-N"," 214.1106"," 1.90","RERZNCLIYCABFS-UHFFFAOYSA-N"
" GLYCOCHOLATE_RFDAIACWWDREDC-FRVQLJSFSA-N"," 465.3090"," 5.88","RFDAIACWWDREDC-FRVQLJSFSA-N"
" N-ACETYLGLUTAMATE_RFMMMVDNIPUKGG-UHFFFAOYSA-N"," 189.0637"," 7.49","RFMMMVDNIPUKGG-UHFFFAOYSA-N"
" Oleuropein_RFWGABANNQMHMZ-WLFYAOHHSA-N"," 540.1843"," 2.06","RFWGABANNQMHMZ-WLFYAOHHSA-N"
" Galactonic acid_RGHNJXZEOKUKBD-MGCNEYSASA-N"," 196.0583"," 1.82","RGHNJXZEOKUKBD-MGCNEYSASA-N"
" 7-Ketodeoxycholate_RHCPKKNRWFXMAT-RRWYKFPJSA-N"," 406.2719"," 0.98","RHCPKKNRWFXMAT-RRWYKFPJSA-N"
" CITRULLINE_RHGKLRLOHDJJDR-BYPYZUCNSA-N"," 175.0957"," 8.47","RHGKLRLOHDJJDR-BYPYZUCNSA-N"
" Emodin_RHMXXJGYXNZAPX-UHFFFAOYSA-N"," 270.0528"," 0.70","RHMXXJGYXNZAPX-UHFFFAOYSA-N"
" Scopoletin_RODXRVNMMDRFIK-UHFFFAOYSA-N"," 192.0423"," 0.72","RODXRVNMMDRFIK-UHFFFAOYSA-N"
" 5,7-Dihydroxyflavone_RTIXKCRFFJGDFG-UHFFFAOYSA-N"," 254.0579"," 0.68","RTIXKCRFFJGDFG-UHFFFAOYSA-N"
" AICA-riboside_RTRQQBHATOEIAF-UUOKFMHZSA-N"," 258.0964"," 4.48","RTRQQBHATOEIAF-UUOKFMHZSA-N"
" CAFFEINE_RYYVLZVUVIJVGH-UHFFFAOYSA-N"," 194.0804"," 6.87","RYYVLZVUVIJVGH-UHFFFAOYSA-N"
" Silibinin_SEBFKMXJBCUCAI-UHFFFAOYSA-N"," 482.1213"," 0.74","SEBFKMXJBCUCAI-UHFFFAOYSA-N"
" NORADRENALINE_SFLSHLFXELFNJZ-QMMMGPOBSA-N"," 169.0739"," 7.25","SFLSHLFXELFNJZ-QMMMGPOBSA-N"
" 1-HYDROXY-2-NAPHTHOATE_SJJCQDRGABAVBB-UHFFFAOYSA-N"," 188.0473"," 0.82","SJJCQDRGABAVBB-UHFFFAOYSA-N"
" 1-Deoxy-D-glucitol_SKCKOFZKJLZSFA-UHFFFAOYSA-N"," 166.0841"," 4.96","SKCKOFZKJLZSFA-UHFFFAOYSA-N"
" SALICYLAMIDE_SKZKKFZAGNVIMN-UHFFFAOYSA-N"," 137.0477"," 0.72","SKZKKFZAGNVIMN-UHFFFAOYSA-N"
" Ginkgolide B_SQOJOAFXDQDRGF-UHFFFAOYSA-N"," 424.1369"," 0.72","SQOJOAFXDQDRGF-UHFFFAOYSA-N"
" Serylalanine_SSJMZMUVNKEENT-IMJSIDKUSA-N"," 176.0797"," 8.48","SSJMZMUVNKEENT-IMJSIDKUSA-N"
" 2',4'-DIHYDROXYACETOPHENONE_SULYEHHGGXARJS-UHFFFAOYSA-N"," 152.0473"," 0.70","SULYEHHGGXARJS-UHFFFAOYSA-N"
" METHIONINE SULFOXIMINE_SXTAYKAGBXMACB-UHFFFAOYSA-N"," 180.0569"," 8.47","SXTAYKAGBXMACB-UHFFFAOYSA-N"
" L-GULONOLACTONE_SXZYCXMUPBBULW-UHFFFAOYSA-N"," 178.0477"," 2.94","SXZYCXMUPBBULW-UHFFFAOYSA-N"
" 4-GUANIDINOBUTANOATE_TUHVEAJXIMEOSA-UHFFFAOYSA-N"," 145.0851"," 6.89","TUHVEAJXIMEOSA-UHFFFAOYSA-N"
" Isonicotinic acid_TWBYWOBDOCUKOW-UHFFFAOYSA-N"," 123.0320"," 3.30","TWBYWOBDOCUKOW-UHFFFAOYSA-N"
" XANTHOSINE_UBORTCNDUKBEOP-UUOKFMHZSA-N"," 284.0757"," 6.62","UBORTCNDUKBEOP-UUOKFMHZSA-N"
" 4,5-Di-O-caffeoylquinic acid_UFCLZKMFXSILNL-RVXRWRFUSA-N"," 516.1268"," 6.94","UFCLZKMFXSILNL-RVXRWRFUSA-N"
" 4,5-Dihydroorotic acid_UFIVEPVSAGBUSI-UHFFFAOYSA-N"," 158.0328"," 7.53","UFIVEPVSAGBUSI-UHFFFAOYSA-N"
" 2,4-Dihydroxybutanoic acid_UFYGCFHQAXXBCF-UHFFFAOYSA-N"," 120.0423"," 12.88","UFYGCFHQAXXBCF-UHFFFAOYSA-N"
" GLUCOSAMINATE_UFYKDFXCZBTLOO-UHFFFAOYSA-N"," 195.0743"," 9.38","UFYKDFXCZBTLOO-UHFFFAOYSA-N"
" 16-Hydroxy hexadecanoic acid_UGAGPNKCDRTDHP-UHFFFAOYSA-N"," 272.2351"," 0.72","UGAGPNKCDRTDHP-UHFFFAOYSA-N"
" N-FORMYLGLYCINE_UGJBHEZMOKVTIM-UHFFFAOYSA-N"," 103.0269"," 7.20","UGJBHEZMOKVTIM-UHFFFAOYSA-N"
" INOSINE_UGQMRVRMYYASKQ-KQYNXXCUSA-N"," 268.0808"," 5.71","UGQMRVRMYYASKQ-KQYNXXCUSA-N"
" CYTIDINE_UHDGCWIWMRVCDJ-XVFCMESISA-N"," 243.0855"," 6.48","UHDGCWIWMRVCDJ-XVFCMESISA-N"
" 2,4-Dihydroxybenzoic Acid_UIAFKZKHHVMJGS-UHFFFAOYSA-N"," 154.0266"," 0.70","UIAFKZKHHVMJGS-UHFFFAOYSA-N"
" THIOPURINE S-METHYLETHER_UIJIQXGRFSPYQW-UHFFFAOYSA-N"," 166.0313"," 0.87","UIJIQXGRFSPYQW-UHFFFAOYSA-N"
" HOMOSERINE_UKAUYVFTDYCKQA-VKHMYHEASA-N"," 119.0582"," 8.06","UKAUYVFTDYCKQA-VKHMYHEASA-N"
" 12-Hydroxystearic acid_ULQISTXYYBZJSJ-UHFFFAOYSA-N"," 300.2664"," 0.73","ULQISTXYYBZJSJ-UHFFFAOYSA-N"
" THIOUREA_UMGDCJDMYOKAJW-UHFFFAOYSA-N"," 76.0095"," 0.92","UMGDCJDMYOKAJW-UHFFFAOYSA-N"
" Hexanoylglycine_UPCKIPHSXMXJOX-UHFFFAOYSA-N"," 173.1052"," 1.28","UPCKIPHSXMXJOX-UHFFFAOYSA-N"
" STACHYOSE_UQZIYBXSHAGNOE-XNSRJBNMSA-N"," 666.2219"," 9.89","UQZIYBXSHAGNOE-XNSRJBNMSA-N"
" Phenylacetylglycine_UTYVDVLMYQPLQB-UHFFFAOYSA-N"," 193.0739"," 1.44","UTYVDVLMYQPLQB-UHFFFAOYSA-N"
" 3,5-Dihydroxybenzoic acid_UYEMGAFJOZZIFP-UHFFFAOYSA-N"," 154.0266"," 1.28","UYEMGAFJOZZIFP-UHFFFAOYSA-N"
" 3,5-Dihydroxybenzoic acid_UYEMGAFJOZZIFP-UHFFFAOYSA-N"," 154.0266"," 0.91","UYEMGAFJOZZIFP-UHFFFAOYSA-N"
" 2,4-DIHYDROXYPTERIDINE_UYEUUXMDVNYCAM-UHFFFAOYSA-N"," 164.0334"," 1.02","UYEUUXMDVNYCAM-UHFFFAOYSA-N"
" GUANINE_UYTPUPDQBNUYGX-UHFFFAOYSA-N"," 151.0494"," 5.89","UYTPUPDQBNUYGX-UHFFFAOYSA-N"
" 4-ACETAMIDOBUTANOATE_UZTFMUBKZQVKLK-UHFFFAOYSA-N"," 145.0739"," 1.36","UZTFMUBKZQVKLK-UHFFFAOYSA-N"
" L-N-(1H-Indol-3-ylacetyl)aspartic acid_VAFNMNRKDDAKRM-UHFFFAOYSA-N"," 290.0903"," 4.43","VAFNMNRKDDAKRM-UHFFFAOYSA-N"
" Norizalpinin_VCCRNZQBSJXYJD-UHFFFAOYSA-N"," 270.0528"," 0.70","VCCRNZQBSJXYJD-UHFFFAOYSA-N"
" N-ALPHA-ACETYLLYSINE_VEYYWZRYIYDQJM-UHFFFAOYSA-N"," 188.1161"," 8.02","VEYYWZRYIYDQJM-UHFFFAOYSA-N"
" N-alpha-Acetyl-L-lysine_VEYYWZRYIYDQJM-ZETCQYMHSA-N"," 188.1161"," 8.00","VEYYWZRYIYDQJM-ZETCQYMHSA-N"
" Curcumin_VFLDPWHFBUODDF-FCXRPNKRSA-N"," 368.1260"," 0.70","VFLDPWHFBUODDF-FCXRPNKRSA-N"
" Phloretin_VGEREEWJJVICBM-UHFFFAOYSA-N"," 274.0841"," 0.77","VGEREEWJJVICBM-UHFFFAOYSA-N"
" gamma-CEHC_VMJQLPNCUPGMNQ-UHFFFAOYSA-N"," 264.1362"," 0.72","VMJQLPNCUPGMNQ-UHFFFAOYSA-N"
" 4-QUINOLINECARBOXYLATE_VQMSRUREDGBWKT-UHFFFAOYSA-N"," 173.0477"," 2.48","VQMSRUREDGBWKT-UHFFFAOYSA-N"
" GUANIDINOSUCCINATE_VVHOUVWJCQOYGG-REOHCLBHSA-N"," 175.0593"," 8.41","VVHOUVWJCQOYGG-REOHCLBHSA-N"
" FUMARATE_VZCYOOQTPOCHFL-OWOJBTEDSA-N"," 116.0110"," 0.98","VZCYOOQTPOCHFL-OWOJBTEDSA-N"
" MALEATE_VZCYOOQTPOCHFL-UPHRSURJSA-N"," 116.0110"," 0.92","VZCYOOQTPOCHFL-UPHRSURJSA-N"
" O-ACETYLSERINE_VZXPDPZARILFQX-BYPYZUCNSA-N"," 147.0532"," 8.42","VZXPDPZARILFQX-BYPYZUCNSA-N"
" Taurocholic acid_WBWWGRHZICKQGZ-HZAMXZRMSA-N"," 515.2917"," 5.93","WBWWGRHZICKQGZ-HZAMXZRMSA-N"
" p-Cresol sulfate_WGNAKZGUSRVWRH-UHFFFAOYSA-N"," 188.0143"," 0.72","WGNAKZGUSRVWRH-UHFFFAOYSA-N"
" CORTEXOLONE_WHBHBVVOGNECLV-OBQKJFGGSA-N"," 346.2144"," 0.74","WHBHBVVOGNECLV-OBQKJFGGSA-N"
" 3-HYDROXYBUTANOATE_WHBMMWSBFZVSSR-GSVOUGTGSA-N"," 104.0473"," 0.87","WHBMMWSBFZVSSR-GSVOUGTGSA-N"
" GLUTAMATE_WHUUTDBJXJRKMK-VKHMYHEASA-N"," 147.0532"," 8.44","WHUUTDBJXJRKMK-VKHMYHEASA-N"
" 3-Carboxy-4-methyl-5-propyl-2-furanpropionic acid_WMCQWXZMVIETAO-UHFFFAOYSA-N"," 240.0998"," 0.83","WMCQWXZMVIETAO-UHFFFAOYSA-N"
" Ectoine_WQXNXVUDBPYKBA-UHFFFAOYSA-N"," 142.0742"," 7.74","WQXNXVUDBPYKBA-UHFFFAOYSA-N"
" ALPHA-D-GLUCOSE_WQZGKKKJIJFFOK-DVKNGEFBSA-N"," 180.0634"," 7.49","WQZGKKKJIJFFOK-DVKNGEFBSA-N"
" ALLOSE_WQZGKKKJIJFFOK-HOWGCPQDSA-N"," 180.0634"," 7.49","WQZGKKKJIJFFOK-HOWGCPQDSA-N"
" GALACTOSE_WQZGKKKJIJFFOK-PHYPRBDBSA-N"," 180.0634"," 7.49","WQZGKKKJIJFFOK-PHYPRBDBSA-N"
" MANNOSE_WQZGKKKJIJFFOK-QTVWNMPRSA-N"," 180.0634"," 7.49","WQZGKKKJIJFFOK-QTVWNMPRSA-N"
" PYRROLE-2-CARBOXYLATE_WRHZVMBBRYBTKZ-UHFFFAOYSA-N"," 111.0320"," 0.86","WRHZVMBBRYBTKZ-UHFFFAOYSA-N"
" Biochanin A_WUADCCWRTIWANL-UHFFFAOYSA-N"," 284.0685"," 0.68","WUADCCWRTIWANL-UHFFFAOYSA-N"
" Homoveratric acid_WUAXWQRULBZETB-UHFFFAOYSA-N"," 196.0736"," 0.77","WUAXWQRULBZETB-UHFFFAOYSA-N"
" 5'-Methylthioadenosine_WUUGFSXJNOTRMR-IOSLPCCCSA-N"," 297.0896"," 1.26","WUUGFSXJNOTRMR-IOSLPCCCSA-N"
" METHYLTHIOADENOSINE_WUUGFSXJNOTRMR-IOSLPCCCSA-N"," 297.0896"," 1.08","WUUGFSXJNOTRMR-IOSLPCCCSA-N"
" CDP-ETHANOLAMINE_WVIMUEUQJFPNDK-PEBGCTIMSA-N"," 446.0604"," 9.83","WVIMUEUQJFPNDK-PEBGCTIMSA-N"
" Deoxycholic acid glycine conjugate_WVULKSPCQVQLCU-ZMBDPXIHSA-N"," 449.3141"," 2.49","WVULKSPCQVQLCU-ZMBDPXIHSA-N"
" N-ACETYLLEUCINE_WXNXCEHXYPACJF-ZETCQYMHSA-N"," 173.1052"," 1.22","WXNXCEHXYPACJF-ZETCQYMHSA-N"
" Gentisic acid_WXTMDXOMEHJXQO-UHFFFAOYSA-N"," 154.0266"," 1.89","WXTMDXOMEHJXQO-UHFFFAOYSA-N"
" Lithocholic acid glycine conjugate_XBSQTYHEGZTYJE-OETIFKLTSA-N"," 433.3192"," 1.24","XBSQTYHEGZTYJE-OETIFKLTSA-N"
" 3-Hydroxyhippuric acid_XDOFWFNMYJRHEW-UHFFFAOYSA-N"," 195.0532"," 3.25","XDOFWFNMYJRHEW-UHFFFAOYSA-N"
" Aesculin_XHCADAYNFIFUHF-UHFFFAOYSA-N"," 340.0794"," 3.23","XHCADAYNFIFUHF-UHFFFAOYSA-N"
" gamma-Glutamylphenylalanine_XHHOHZPNYFQJKL-QWRGUYRKSA-N"," 294.1216"," 7.62","XHHOHZPNYFQJKL-QWRGUYRKSA-N"
" 3-Phenylpropionylglycine_XHSURMJJKAFELI-UHFFFAOYSA-N"," 207.0895"," 1.26","XHSURMJJKAFELI-UHFFFAOYSA-N"
" N-Acetylhistamine_XJWPISBUKWZALE-UHFFFAOYSA-N"," 153.0902"," 5.89","XJWPISBUKWZALE-UHFFFAOYSA-N"
" N-METHYLGLUTAMATE_XLBVNMSMFQMKEY-UHFFFAOYSA-N"," 161.0688"," 8.09","XLBVNMSMFQMKEY-UHFFFAOYSA-N"
" 2-Ketohexanoic acid_XNIHZNNZJHYHLC-UHFFFAOYSA-N"," 130.0630"," 1.60","XNIHZNNZJHYHLC-UHFFFAOYSA-N"
" THYROTROPIN RELEASING HORMONE_XNSAINXGIQZQOO-SRVKXCTJSA-N•À?"," 362.1703"," 7.28","XNSAINXGIQZQOO-SRVKXCTJSA-N•À?"
" TAURINE_XOAAWQZATWQOTB-UHFFFAOYSA-N"," 125.0147"," 7.59","XOAAWQZATWQOTB-UHFFFAOYSA-N"
" P-HYDROXYPHENYLACETATE_XQXPVVBIMDBYFF-UHFFFAOYSA-N"," 152.0473"," 0.82","XQXPVVBIMDBYFF-UHFFFAOYSA-N"
" THYROXINE_XUIIKFGFIJCVMT-LBPRGKRZSA-N"," 776.6867"," 5.38","XUIIKFGFIJCVMT-LBPRGKRZSA-N"
" N-ACETYLMETHIONINE_XUYPXLNMDZIRQH-UHFFFAOYSA-N"," 191.0616"," 1.77","XUYPXLNMDZIRQH-UHFFFAOYSA-N"
" CYSTEATE_XVOYSCVBGLVSOL-UHFFFAOYSA-N"," 169.0045"," 8.53","XVOYSCVBGLVSOL-UHFFFAOYSA-N"
" Cinnamoylglycine_YAADMLWHGMUGQL-VOTSOKGWSA-N"," 205.0739"," 1.38","YAADMLWHGMUGQL-VOTSOKGWSA-N"
" THEOBROMINE_YAPQBXQYLJRXSA-UHFFFAOYSA-N"," 180.0647"," 0.94","YAPQBXQYLJRXSA-UHFFFAOYSA-N"
" BIOTIN_YBJHBAHKTGYVGT-ZKWXMUAHSA-N"," 244.0882"," 1.32","YBJHBAHKTGYVGT-ZKWXMUAHSA-N"
" PYROCATECHOL_YCIMNLLNPGFGHC-UHFFFAOYSA-N"," 110.0368"," 1.14","YCIMNLLNPGFGHC-UHFFFAOYSA-N"
" 5-Hydroxyhexanoic acid_YDCRNMJQROAWFT-UHFFFAOYSA-N"," 132.0786"," 0.90","YDCRNMJQROAWFT-UHFFFAOYSA-N"
" Asymmetric dimethylarginine_YDGMGEXADBMOMJ-LURJTMIESA-N"," 202.1430"," 8.98","YDGMGEXADBMOMJ-LURJTMIESA-N"
" N,N-DIMETHYLARGININE_YDGMGEXADBMOMJ-LURJTMIESA-N"," 202.1430"," 9.00","YDGMGEXADBMOMJ-LURJTMIESA-N"
" Phenylpropionylglycine_YEIQSAXUPKPPBN-UHFFFAOYSA-N"," 207.0895"," 1.31","YEIQSAXUPKPPBN-UHFFFAOYSA-N"
" SALICYLATE_YGSDEFSMJLZEOE-UHFFFAOYSA-N"," 138.0317"," 0.90","YGSDEFSMJLZEOE-UHFFFAOYSA-N"
" 10-HYDROXYDECANOATE_YJCJVMMDTBEITC-UHFFFAOYSA-N"," 188.1412"," 0.76","YJCJVMMDTBEITC-UHFFFAOYSA-N"
" DEOXYGUANOSINE_YKBGVTZYEHREMT-KVQBGUIXSA-N"," 267.0968"," 5.94","YKBGVTZYEHREMT-KVQBGUIXSA-N"
" Protocatechuic acid_YQUVCSBJEUQKSH-UHFFFAOYSA-N"," 154.0266"," 1.12","YQUVCSBJEUQKSH-UHFFFAOYSA-N"
" 5-HYDROXYLYSINE_YSMODUONRAFBET-UHNVWZDZSA-N"," 162.1004"," 9.69","YSMODUONRAFBET-UHNVWZDZSA-N"
" DTDP-D-GLUCOSE_YSYKRGRSMLTJNL-KFQCIAAJSA-N"," 564.0758"," 9.58","YSYKRGRSMLTJNL-KFQCIAAJSA-N"
" 3,4,5-Trimethoxycinnamic acid_YTFVRYKNXDADBI-SNAWJCMRSA-N"," 238.0841"," 0.73","YTFVRYKNXDADBI-SNAWJCMRSA-N"
" Amentoflavone_YUSWMAULDXZHPY-UHFFFAOYSA-N"," 538.0900"," 0.84","YUSWMAULDXZHPY-UHFFFAOYSA-N"
" Ginkgolic acid_YXHVCZZLWZYHSA-BQYQJAHWSA-N"," 346.2508"," 0.72","YXHVCZZLWZYHSA-BQYQJAHWSA-N"
" Morin_YXOLAZRVSSWPPT-UHFFFAOYSA-N"," 302.0427"," 1.03","YXOLAZRVSSWPPT-UHFFFAOYSA-N"
" OMEGA-HYDROXYDODECANOATE_ZDHCZVWCTKTBRY-UHFFFAOYSA-N"," 216.1725"," 0.72","ZDHCZVWCTKTBRY-UHFFFAOYSA-N"
" GLUTAMINE_ZDXPYRJPNDTMRX-VKHMYHEASA-N"," 146.0691"," 8.29","ZDXPYRJPNDTMRX-VKHMYHEASA-N"
" S-Allylcysteine_ZFAHNWWNDFHPOH-UHFFFAOYSA-N"," 161.0510"," 6.46","ZFAHNWWNDFHPOH-UHFFFAOYSA-N"
" THEOPHYLLINE_ZFXYFBGIUFBOJW-UHFFFAOYSA-N"," 180.0647"," 0.92","ZFXYFBGIUFBOJW-UHFFFAOYSA-N"
" 4-Hydroxyphenyl-2-propionic acid_ZHMMPVANGNPCBW-UHFFFAOYSA-N"," 166.0630"," 0.78","ZHMMPVANGNPCBW-UHFFFAOYSA-N"
" 3,5-DIIODO-L-THYRONINE_ZHSOTLOTTDYIIK-UHFFFAOYSA-N"," 524.8934"," 5.67","ZHSOTLOTTDYIIK-UHFFFAOYSA-N"
" Geniposidic acid_ZJDOESGVOWAULF-UHFFFAOYSA-N"," 374.1213"," 6.53","ZJDOESGVOWAULF-UHFFFAOYSA-N"
" LUMICHROME_ZJTJUVIJVLLGSP-UHFFFAOYSA-N"," 242.0804"," 0.96","ZJTJUVIJVLLGSP-UHFFFAOYSA-N"
" S-ADENOSYLHOMOCYSTEINE_ZJUKTBDSGOFHSH-WFMPWKQPSA-N"," 384.1216"," 8.39","ZJUKTBDSGOFHSH-WFMPWKQPSA-N"
" ANILINE-2-SULFONATE_ZMCHBSMFKQYNKA-UHFFFAOYSA-N"," 173.0147"," 0.92","ZMCHBSMFKQYNKA-UHFFFAOYSA-N"
" 4-Hydroxyhippuric acid_ZMHLUFWWWPBTIU-UHFFFAOYSA-N"," 195.0532"," 3.54","ZMHLUFWWWPBTIU-UHFFFAOYSA-N"
" 2-Ethylhydracrylic acid_ZMZQVAUJTDKQGE-UHFFFAOYSA-N"," 118.0630"," 0.92","ZMZQVAUJTDKQGE-UHFFFAOYSA-N"
" CYCLIC GMP_ZOOGRGPOEVQQDX-UUOKFMHZSA-N"," 345.0474"," 7.71","ZOOGRGPOEVQQDX-UUOKFMHZSA-N"
" HISTIDINOL_ZQISRDCJNBUVMM-YFKPBYRVSA-N"," 141.0902"," 8.51","ZQISRDCJNBUVMM-YFKPBYRVSA-N"
" Daidzein_ZQSIJRDFPHDXIC-UHFFFAOYSA-N"," 254.0579"," 0.74","ZQSIJRDFPHDXIC-UHFFFAOYSA-N"
" Daidzein_ZQSIJRDFPHDXIC-UHFFFAOYSA-N"," 254.0579"," 0.76","ZQSIJRDFPHDXIC-UHFFFAOYSA-N"
" 2-Methylbenzoic acid_ZWLPBLYKEWSWPD-UHFFFAOYSA-N"," 136.0524"," 2.26","ZWLPBLYKEWSWPD-UHFFFAOYSA-N"
" URACIL 5-CARBOXYLATE_ZXYAAVBXHKCJJB-UHFFFAOYSA-N"," 156.0171"," 3.43","ZXYAAVBXHKCJJB-UHFFFAOYSA-N"
" Coumesterol_ZZIALNLLNHEQPJ-UHFFFAOYSA-N"," 268.0372"," 0.74","ZZIALNLLNHEQPJ-UHFFFAOYSA-N"
" RESORCINOL MONOACETATE_ZZPKZRHERLGEKA-UHFFFAOYSA-N"," 152.0473"," 0.70","ZZPKZRHERLGEKA-UHFFFAOYSA-N"
